reviewerID,overall,lemmatized_text,label
A2IBPI20UZIR0U,5,write exactly suppose filter pop sound recording crisp low price pop filter amazon buy honestly work despite pricing,2
A14VAT5EAX3D9S,5,product exactly affordablei realize double screen arrive well expecteda add bonus screen carry small hint smell old grape candy buy reminiscent sake stop put pop filter nose smell record dif need pop filter work expensive one come pleasing aroma like didbuy product,2
A195EZSQDW3E21,5,primary job device block breath produce popping sound allow voice pass noticeable reduction volume high frequency double cloth filter block pop let voice coloration metal clamp mount attache mike stand secure attach goose neck need little coax stay,2
A2C00NNG1ZQQG2,5,nice windscreen protect mxl mic prevent pop thing gooseneck marginally able hold screen position require careful positioning clamp avoid sag,2
A94QU4C90B1AX,5,pop filter great look perform like studio filter record vocal eliminate pop gets record sing,2
A2A039TZMZHH9Y,5,good buy love heavy cord gold connector bass sound great learn night coil guess read instruction carefully harm work great,2
A1UPZM995ZAH90,5,monster cable year good reason lifetime warranty worth price simple fact cable break get replace cost,2
AJNFQI3YR6XJ5,3,use cable run output pedal chain input fender amp buy monster cable hook pedal board think try update guitar high end planet wave cable buy s find input jack new monster cable not fit fender strat jack little disappointed not return state use output pedal board save money go planet wave cablei pay eighty planet wave come m get pay think wave lot money daybut not buy guitar cable plus year workingplanet wave win,1
A3M1PLEYNDEYO8,5,perfect epiphone sheraton ii monster cable construct problem year get want degree plug,2
AMNTZU1YQN1TH,5,monster make good cable lifetime warranty not hurt not line series work great bass guitar rig time not wrong monster cable,2
A2NYK9KWFMJV4Y,5,monster make wide array cable include high end initially purchase pair ofmonster rock instrument cable foot angle straight inch plugto use keyboard come time purchase cable bass guitar think d pinch penny glad didi compare cable model expensive model previously purchase aside look detect difference sound swap forth guitar keyboard ensure model instrument differencewhat expensive model go look sure higher price model sturdy mold stress relief end model reliable pricy siblingbottom line carefully compare cable instrument amp possible make purchase decision find high price necessarily equal high value manufacturer,2
A35QFQI0M46LWO,4,get need find not need rarely use good need keyboard organ,2
A2NIT6BKW11XJQ,3,use large sustaining pedal play piano appear little awkward,1
A1C0O09LOLVI39,5,love yamaha ypt work great recommend,2
A17SLR18TUMULM,5,buy use home studio control midi keyboard want,2
A2PD27UKAD3Q00,2,buy use keyboard not aware option keyboard pedal not work smoothly pedal acoustic piano d not feel closein opinion sustain pedal like maudio sp sustain pedal piano style action similar pedal well choice price difference dollar feel action well thing ve find yamaha fc sustain pedal good take space drawer electric guitar pedal,0
AKSFZ4G1AXYFC,4,fender cable perfect length find bit long not mind build quality great know gripe cable metal sleeve get unscrewed way easily require tighten oftensound quality affect color cool definitely try cable,2
A67OJZLHBBUQ9,5,want look aloneit nice look cord know performas sam ash cord pack mailer inside box roc n soc shipping team great worknever complaint love sam ash thank amazon,2
A2EZWZ8MBEDOLN,5,ve cable month hold pretty year seemingly indestructable guitar cable electrician friend finally give get habit noname cable display near register guitar center impulse buy thought fourth guitar center cable fail light use decide try cable cheap hold well terribly hard gear cable tend twist cheap one eventually fail midcable not mind spend extra dollar cable little durable cable actually cheap ship hold pretty actually reasonably price cable kind limited life warantee product not need star nicely foot guitar cable cost shippedincidentally cable shield mean connect instrument amp input use connect amplifier speaker cab want use unshielded cable purposeedit month pass cable function issue price thing go significantly cable highly recommend probably well value hosa monster planet wave,2
A1CL807EOUPVP1,5,fender cord look great work add word california description m sure sound like beach boy,2
A1GMWTGXW682GB,4,cool look cheap cable work bend connector pretty badly fault thing consider cable tighten connector awhile ll able hear rattle retro look screw connector black rubber cable look cool work welli short red cable go guitar perfectly buy thesis use practice use black cable easy plug different amp cut accident green cable good,2
A2G12DY50U700V,5,fender foot california clear instrument cable lake placid blue good extra cord good price,2
A3E0CF25A7LD2,4,good cable look great candy apple red tele reason give star tend lay flat floor,2
A2W3CLAYZLDPTV,5,get cable run rockband keyboard controller maudio profire control midi pro tool work great firm fit solidly mold end reputable brand cablea bit thin not see issue not wrong time purchase prime eligibility,2
A398X9POBHK69N,5,search midi cable art x foot controller come hosa one dollar realize happy price high quality plastic metal connector work flawlessly realize foot overestimate wish long connection rack sound module perfect,2
AXWB93VKVML6K,4,not wrong great quality budget price hosa need hook thing,2
A2FZ4Z0UFA1OR8,5,end midi cable look feel like quality connection secure worry uneven connection detach hitch highly recommend,2
AXP9CF1UTFRSU,5,try find midi midi task sure pin config correct good product work fine,2
A2CCGGDGZ694CT,4,hosa xlr cable affordable heavily madei large mixer rack cable everywherei decide purchase short cable hosa cable ft measurement work perfectlyyou disappoint,2
A27DR1VO079F1V,5,buy board amp use mobile church beating go strong,2
A1LQC225SE8UNI,5,sturdy cord plug inexpensive good value not require professionallevel equipment cord serve purpose satisfied purchase,2
AU9BPT3Y3K6J4,5,use week gig solid problem solder joint good quality cable good price,2
A14Z9LAETO21KL,4,hosa product good bang buck not look specification m guess wire awg long good,2
A2074KEJGRYJV4,5,exactly voice touch need small cord connect mic voice touch perfect foot cord inch highly recommend mic stand voice touch stand connected device vocal,2
A7TRK2GG6BHWD,5,buy long mike cord solo live nice cord home portastudio recording studio like need spaghetti trip place buy use digitech live harmony processor xlr mike cord require operational good price hard find mike cord usually long one obtainable,2
A319B090A2POEB,4,cable like connect di box abuse vocal mic,2
A396ELNTQDFYPO,4,great cheap fast need ve fail ve buy use broadcast studioamazon place need cable audio video computer concert lightinggood music,2
A17CU1D2CWXOHB,4,fine cable decent price point exceptional mind get job,2
A1S0HTDO0P4N5V,5,ve lot cable come hosa good audio cable price range market,2
A3DWQW2L39RB1S,4,buy cord return cheap ve know well buy son experience musician recommend hosa brand seek proper replacementi buy small home recording setup include behringer c condenser microphone behringer xenyx mixer end reliable connection board mic sound quality excellentan excellent value money,2
AQQ91U1U4YKDF,5,nice solid cable excellent support end lifetime usage problem need connect tube preamp,2
AA5TINW2RJ195,5,good quality cable sound good,2
ABC68JUCPTVOE,5,zero issue cable far feel fairly cheap light weight survive month plug unplug packing practice spacesill update review ifwhen break,2
A3W2E6S24BTXXK,5,realtively inexpensive patch cable electric guitari month far hold pretty,2
A3872Y2XH0YDX1,5,buy want cheap replacement cable short m pleasantly surprised cable decent sound decent build quality good price,2
A398X9POBHK69N,4,nice cable price bend end fortunately work fine inside phono connector wire cover white shrink plastic not notice hum crackle sure good buy,2
A13A81NN0NRD1S,4,cheap good texture rubber stiff time tell soldering sound fine,2
A1EUO0BU72JR7T,5,sturdy noise issue m pretty satifie not leave house m ask handle lot reasonable care,2
A1H4WSC8JWS59N,5,m professional play year good cord ve m sure eric clapton well,2
A3OXHLG6DIBRW8,5,hosa cable good quality connector nice long length son expand collection amp effect pedal need additional cable connect cable give flexibility sturdy step pull aroundthe cable work good value decent quality cablehighly recommendedcfh,2
A12ABV9NU02O29,2,not expect cable thin easily thickness guitar cable ve sure longterm durability signal lossinterference foresight d spend couple extra buck thick cable work inexpensiveedit month later dead wire fray right angle jack pay,0
A2U1Z3TZ4P76JB,5,buy daughter new guitar work issue couple week,2
A1L7M2JXN4EZCR,1,hum crackle think m have problem equipment soon use cord problem go hosa make product good value base experience not recommend,0
A37A41GWQFMK3D,4,hard cable typically plug guitar not play hour day perform fine buzz andor noise note perform,2
A2JK2ITE138P7Z,5,find hosa cable excellent value expensive cable rugged price m happy hosas purchase,2
